Problema,Estrategia,n,K,m,z,S,CPU,nodos_generados
max_div_15_2.txt,Deeper,15,2,4,49.8268,(9.110000 3.230000)(0.160000 4.620000)(8.650000 9.980000)(0.580000 1.290000),0.008215,55
max_div_15_2.txt,GreatterZ,15,2,5,79.1295,(8.650000 9.980000)(0.160000 4.620000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000),0.014232,66
max_div_15_2.txt,Deeper,15,2,5,79.1295,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.160000 4.620000)(9.960000 8.170000),0.013404,66
max_div_15_2.txt,GreatterZ,15,2,6,115.428,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000)(1.350000 7.110000),0.025118,76
max_div_15_2.txt,Deeper,15,2,6,115.428,(9.960000 8.170000)(0.580000 1.290000)(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(1.350000 7.110000),0.023699,76
max_div_30_3.txt,GreatterZ,30,3,2,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.00411,60
max_div_30_3.txt,Deeper,30,3,2,13.0737,(6.710000 0.350000 9.420000)(8.060000 9.590000 0.270000),0.003486,60
max_div_30_3.txt,GreatterZ,30,3,3,34.2905,(8.060000 9.590000 0.270000)(1.530000 8.090000 9.560000)(8.320000 0.470000 8.980000),0.012518,88
max_div_30_3.txt,Deeper,30,3,3,34.2905,(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(8.060000 9.590000 0.270000),0.011244,88
max_div_30_3.txt,GreatterZ,30,3,4,63.702,(8.060000 9.590000 0.270000)(6.750000 0.070000 1.800000)(1.530000 8.090000 9.560000)(8.320000 0.470000 8.980000),0.030066,115
max_div_30_3.txt,Deeper,30,3,4,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.028086,115
max_div_30_3.txt,GreatterZ,30,3,5,99.592,(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000)(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000),0.062451,141
max_div_30_3.txt,Deeper,30,3,5,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.060417,141
max_div_30_3.txt,GreatterZ,30,3,6,143.829,(8.060000 9.590000 0.270000)(1.530000 8.090000 9.560000)(6.710000 0.350000 9.420000)(8.060000 9.590000 0.270000)(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000),0.115011,166
max_div_30_3.txt,Deeper,30,3,6,143.829,(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(9.990000 4.400000 9.760000)(8.060000 9.590000 0.270000)(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.111387,166
