Problema,n,K,m,Iter,|LRC|,z0,z,S,CPU
max_div_20_2.txt,20,2,4,20,3,37.0344,40.0023,(8.670000 3.170000)(1.160000 4.470000)(3.470000 9.430000)(8.570000 8.360000),0.003756
max_div_20_2.txt,20,2,5,10,2,60.4471,63.6517,(1.970000 3.500000)(8.570000 8.360000)(0.630000 5.960000)(3.470000 9.430000)(8.670000 3.170000),0.008178
max_div_20_2.txt,20,2,5,10,3,62.1989,63.6517,(1.970000 3.500000)(8.570000 8.360000)(8.670000 3.170000)(3.470000 9.430000)(0.630000 5.960000),0.008869
max_div_20_2.txt,20,2,5,20,2,59.2131,63.6517,(0.630000 5.960000)(8.670000 3.170000)(3.470000 9.430000)(1.970000 3.500000)(8.570000 8.360000),0.009641
max_div_20_2.txt,20,2,5,20,3,62.1989,63.6517,(0.630000 5.960000)(8.670000 3.170000)(3.470000 9.430000)(8.570000 8.360000)(1.970000 3.500000),0.007221
max_div_15_2.txt,15,2,2,10,2,10.8278,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.000724
max_div_15_2.txt,15,2,2,10,3,11.8592,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.000398
max_div_15_2.txt,15,2,2,20,2,11.8592,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.000293
max_div_15_2.txt,15,2,2,20,3,11.6327,11.8592,(8.650000 9.980000)(0.580000 1.290000),0.000558
max_div_15_2.txt,15,2,3,10,2,23.8878,27.3727,(8.650000 9.980000)(9.110000 3.230000)(0.580000 1.290000),0.001285
max_div_15_2.txt,15,2,3,10,3,23.874,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.001387
max_div_15_2.txt,15,2,3,20,2,25.7129,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.001695
max_div_15_2.txt,15,2,3,20,3,25.9285,27.3727,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000),0.001569
max_div_15_2.txt,15,2,4,10,2,46.6528,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.003704
max_div_15_2.txt,15,2,4,10,3,47.4999,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.003537
max_div_15_2.txt,15,2,4,20,2,46.8355,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.003569
max_div_15_2.txt,15,2,4,20,3,48.2478,49.8268,(9.110000 3.230000)(0.580000 1.290000)(8.650000 9.980000)(0.160000 4.620000),0.003671
max_div_15_2.txt,15,2,5,10,2,73.5605,79.1295,(8.650000 9.980000)(9.110000 3.230000)(9.960000 8.170000)(0.580000 1.290000)(0.160000 4.620000),0.005179
max_div_15_2.txt,15,2,5,10,3,78.0138,79.1295,(8.650000 9.980000)(0.160000 4.620000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000),0.004211
max_div_15_2.txt,15,2,5,20,2,73.5619,79.1295,(8.650000 9.980000)(0.160000 4.620000)(9.110000 3.230000)(0.580000 1.290000)(9.960000 8.170000),0.008336
max_div_15_2.txt,15,2,5,20,3,75.1304,79.1295,(8.650000 9.980000)(0.580000 1.290000)(9.110000 3.230000)(0.160000 4.620000)(9.960000 8.170000),0.004425
max_div_30_3.txt,30,3,2,10,2,12.6137,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.001391
max_div_30_3.txt,30,3,2,10,3,11.454,13.0737,(6.710000 0.350000 9.420000)(8.060000 9.590000 0.270000),0.001109
max_div_30_3.txt,30,3,2,20,2,12.6137,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.001276
max_div_30_3.txt,30,3,2,20,3,12.6137,13.0737,(8.060000 9.590000 0.270000)(6.710000 0.350000 9.420000),0.001249
max_div_30_3.txt,30,3,3,10,2,30.853,34.2905,(1.530000 8.090000 9.560000)(8.320000 0.470000 8.980000)(8.060000 9.590000 0.270000),0.004061
max_div_30_3.txt,30,3,3,10,3,29.1457,34.2905,(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(8.060000 9.590000 0.270000),0.005125
max_div_30_3.txt,30,3,3,20,2,31.5054,34.2905,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000),0.004013
max_div_30_3.txt,30,3,3,20,3,31.0285,34.2905,(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(8.060000 9.590000 0.270000),0.004238
max_div_30_3.txt,30,3,4,10,2,63.702,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.003259
max_div_30_3.txt,30,3,4,10,3,62.9266,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.00744
max_div_30_3.txt,30,3,4,20,2,63.5184,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.005688
max_div_30_3.txt,30,3,4,20,3,62.7517,63.702,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000),0.005652
max_div_30_3.txt,30,3,5,10,2,98.7406,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.009283
max_div_30_3.txt,30,3,5,10,3,95.1333,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.018134
max_div_30_3.txt,30,3,5,20,2,98.2397,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.013168
max_div_30_3.txt,30,3,5,20,3,95.1006,99.592,(8.060000 9.590000 0.270000)(8.320000 0.470000 8.980000)(1.530000 8.090000 9.560000)(6.750000 0.070000 1.800000)(7.540000 8.930000 9.660000),0.015357
